ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1169,Ethiopian,13h,10m,1,442,DXB,04:05a,3h 30m,ADD,,,,,BKK,08:40p,   Apr 8
1170,Flynas,7h,45m,1,434,DXB,04:20a,1h 35m,RUH,,,,,BKK,08:40p,   Apr 8
1171,Flynas,8h,55m,1,418,DXB,05:05a,3h 30m,DMM,,,,,BKK,02:15p,   Apr 8
1172,Flynas,16h,5m,1,415,DXB,04:20a,9h 55m,RUH,,,,,BKK,01:00p,   Apr 8
1173,Flynas,12h,35m,1,415,DXB,04:20a,6h 25m,RUH,,,,,BKK,08:35p,   Apr 8
1174,Kuwait,6h,35m,1,406,DXB,07:15a,45m,KWI,,,,,BKK,04:30p,   Apr 8
1175,IndiGo,13h,40m,1,397,DXB,09:10a,7h 45m,COK,,,,,BKK,10:00a,   Apr 8
1176,Air India,8h,40m,1,356,DXB,03:35p,2h 20m,DEL,,,,,BKK,03:00a,   Apr 8
1177,Air India,8h,15m,1,356,DXB,04:00p,2h 10m,DEL,,,,,BKK,03:00a,   Apr 8
1178,Ethiopian,30h,10m,1,340,DXB,11:05a,20h 30m,ADD,,,,,BKK,03:00a,   Apr 8
1179,Srilankan,26h,30m,1,336,DXB,08:40p,19h 20m,CMB,,,,,BKK,03:00a,   Apr 8
1180,Oman,6h,40m,1,335,DXB,10:30a,2h 50m,MCT,,,,,BKK,09:30a,   Apr 8
1181,Oman,24h,50m,1,335,DXB,10:30a,21h 0m,MCT,,,,,BKK,04:10a,   Apr 8
1182,Oman,18h,10m,1,335,DXB,10:30a,14h 20m,MCT,,,,,BKK,07:55p,   Apr 8
1183,Oman,12h,25m,1,335,DXB,10:30a,8h 35m,MCT,,,,,BKK,06:15a,   Apr 8
